"","indicator","Indicator_Id","Indicator_Name","answer","Display_Name","Dataset","Category_15","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description"
"1895","regulatory quality-WGI-Upper","13-WGI-Upper","Regulatory Quality","Upper","Regulatory Quality","WGI",NA,"upper_bound","Upper Bound","Index Upper Bound",3.003,"Investment","Risk and Policy Uncertainty","Governance","Regulatory Quality",NA,"Public Sector Management","Administrative and Policymaking capacity","Other","Regulatory Quality","",NA,"Private Sector Interface","Regulation of entry and exit","Other","Regulatory Quality",NA,NA,"GOV","13-WGI-Upper",NA
"1896","rule of law-WGI-Estimate","12-WGI-Estimate","Rule of Law","Estimate","Rule of Law","WGI",NA,"Estimate","Estimate","Estimate",3.004,"Investment","Risk and Policy Uncertainty","Governance","Rule of Law",NA,"Public Sector Management","Enforcement","Other","Rule of Law","",NA,"Checks and Balances","Judiciary System","Other","Rule of Law",NA,NA,"GOV","12-WGI-Estimate",NA
"1897","rule of law-WGI-Lower","8-WGI-Lower","Rule of Law","Lower","Rule of Law","WGI",NA,"lower_bound","Lower Bound","Index Lower Bound",3.004,"Investment","Risk and Policy Uncertainty","Governance","Rule of Law",NA,"Public Sector Management","Enforcement","Other","Rule of Law","",NA,"Checks and Balances","Judiciary System","Other","Rule of Law",NA,NA,"GOV","8-WGI-Lower",NA
"1898","rule of law-WGI-Rank","9-WGI-Rank","Rule of Law","Rank","Rule of Law","WGI",NA,"Percentile Rank","Percentile Rank","Percentile Rank",3.004,"Investment","Risk and Policy Uncertainty","Governance","Rule of Law",NA,"Public Sector Management","Enforcement","Other","Rule of Law","",NA,"Checks and Balances","Judiciary System","Other","Rule of Law",NA,NA,"GOV","9-WGI-Rank",NA
"1899","rule of law-WGI-StdErr","11-WGI-StdErr","Rule of Law","StdErr","Rule of Law","WGI",NA,"standard_error","Standard Error","Index Standard Error",3.004,"Investment","Risk and Policy Uncertainty","Governance","Rule of Law",NA,"Investment","FCS Investment Trends","Institutional Resilience","Risk and Policy Uncertainty","Rule of Law",NA,"Public Sector Management","Enforcement","Other","Rule of Law",NA,NA,"GOV","11-WGI-StdErr",NA
"1900","rule of law-WGI-Upper","7-WGI-Upper","Rule of Law","Upper","Rule of Law","WGI",NA,"upper_bound","Upper Bound","Index Upper Bound",3.004,"Investment","Risk and Policy Uncertainty","Governance","Rule of Law",NA,"Public Sector Management","Enforcement","Other","Rule of Law","",NA,"Checks and Balances","Judiciary System","Other","Rule of Law",NA,NA,"GOV","7-WGI-Upper",NA
"1901","voice and accountability-WGI-Estimate","36-WGI-Estimate","Voice and Accountability","Estimate","Voice and Accountability","WGI",NA,"Estimate","Estimate","Estimate",3.005,"Investment","Risk and Policy Uncertainty","Governance","Voice and Accountability",NA,"Political Accountability","Elections","Other","Voice and Accountability","",NA,"Citizen Engagement","Civil Society Participation","Other","Voice and Accountability",NA,NA,"GOV","36-WGI-Estimate",NA
"1902","voice and accountability-WGI-Lower","32-WGI-Lower","Voice and Accountability","Lower","Voice and Accountability","WGI",NA,"lower_bound","Lower Bound","Index Lower Bound",3.005,"Investment","Risk and Policy Uncertainty","Governance","Voice and Accountability",NA,"Political Accountability","Elections","Other","Voice and Accountability","",NA,"Citizen Engagement","Civil Society Participation","Other","Voice and Accountability",NA,NA,"GOV","32-WGI-Lower",NA
"1903","voice and accountability-WGI-Rank","33-WGI-Rank","Voice and Accountability","Rank","Voice and Accountability","WGI",NA,"Percentile Rank","Percentile Rank","Percentile Rank",3.005,"Investment","Risk and Policy Uncertainty","Governance","Voice and Accountability",NA,"Political Accountability","Elections","Other","Voice and Accountability","",NA,"Citizen Engagement","Civil Society Participation","Other","Voice and Accountability",NA,NA,"GOV","33-WGI-Rank",NA
"1904","voice and accountability-WGI-StdErr","35-WGI-StdErr","Voice and Accountability","StdErr","Voice and Accountability","WGI",NA,"standard_error","Standard Error","Index Standard Error",3.005,"Investment","Risk and Policy Uncertainty","Governance","Voice and Accountability",NA,"Investment","FCS Investment Trends","Institutional Resilience","Risk and Policy Uncertainty","Voice and Accountability",NA,"Political Accountability","Elections","Other","Voice and Accountability",NA,NA,"GOV","35-WGI-StdErr",NA
"1905","voice and accountability-WGI-Upper","31-WGI-Upper","Voice and Accountability","Upper","Voice and Accountability","WGI",NA,"upper_bound","Upper Bound","Index Upper Bound",3.005,"Investment","Risk and Policy Uncertainty","Governance","Voice and Accountability",NA,"Political Accountability","Elections","Other","Voice and Accountability","",NA,"Citizen Engagement","Civil Society Participation","Other","Voice and Accountability",NA,NA,"GOV","31-WGI-Upper",NA
"1906","administrative proceedings are conducted without unreasonable delay-WJP-Total","19-WJP-Total","6.3","Total","Administrative proceedings are conducted without unreasonable delay","WJP",NA,"Total","Total","Value",3.02,"Public Sector Management","Enforcement","Other","Administrative proceedings are conducted without unreasonable delay (63)",NA,"","","","",NA,NA,"","","","","WJP45","WJP45","GOV","19-WJP-Total",NA
"1909","civic participation-WJP-Total","63-WJP-Total","3.3","Total","Civic participation","WJP",NA,"Total","Total","Value",4.018,"Security","Crime","Other","Civic participation (33)",NA,"","","","",NA,NA,"","","","","WJP23","WJP23","GOV","63-WJP-Total",NA
"1914","civil justice is effectively enforced-WJP-Total","10-WJP-Total","7.6","Total","Civil justice is effectively enforced","WJP",NA,"Total","Total","Value",4.266,"Checks and Balances","Judiciary System","Other","Civil justice is effectively enforced (76)",NA,"","","","",NA,NA,"","","","","WJP55","WJP55","GOV","10-WJP-Total",NA
"1915","civil justice is free of corruption-WJP-Total","13-WJP-Total","7.3","Total","Civil justice is free of corruption","WJP",NA,"Total","Total","Value",4.698,"Checks and Balances","Judiciary System","Other","Civil justice is free of corruption (73)",NA,"","","","",NA,NA,"","","","","WJP51","WJP51","GOV","13-WJP-Total",NA
"1916","civil justice is free of discrimination-WJP-Total","14-WJP-Total","7.2","Total","Civil justice is free of discrimination","WJP",NA,"Total","Total","Value",4.172,"Checks and Balances","Judiciary System","Other","Civil justice is free of discrimination (72)",NA,"","","","",NA,NA,"","","","","WJP50","WJP50","GOV","14-WJP-Total",NA
"1917","civil justice is free of improper government influence-WJP-Total","12-WJP-Total","7.4","Total","Civil justice is free of improper government influence","WJP",NA,"Total","Total","Value",2.03,"Checks and Balances","Judiciary System","Other","Civil justice is free of improper government influence (74)",NA,"","","","",NA,NA,"","","","","WJP52","WJP52","GOV","12-WJP-Total",NA
"1918","civil justice is not subject to unreasonable delay-WJP-Total","70-WJP-Total","7.5","Total","Civil justice is not subject to unreasonable delay","WJP",NA,"Total","Total","Value",4.649,"Checks and Balances","Judiciary System","Other","Civil justice is not subject to unreasonable delay (75)",NA,"","","","",NA,NA,"","","","","WJP53","WJP53","GOV","70-WJP-Total",NA
"1919","civil justice is not subject to unreasonable delays-WJP-Total","11-WJP-Total","7.5","Total","Civil justice is not subject to unreasonable delays","WJP",NA,"Total","Total","Value",5.181,"Checks and Balances","Judiciary System","Other","Civil justice is not subject to unreasonable delays (75)",NA,"","","","",NA,NA,"","","","","WJP54","WJP54","GOV","11-WJP-Total",NA
"1920","complaint mechanisms-WJP-Total","64-WJP-Total","3.4","Total","Complaint mechanisms","WJP",NA,"Total","Total","Value",4.728,"Checks and Balances","Oversight institutions","Other","Complaint mechanisms (34)",NA,"","","","",NA,NA,"","","","","WJP26","WJP26","GOV","64-WJP-Total",NA
"1921","correctional system is effective in reducing criminal behavior-WJP-Total","5-WJP-Total","8.3","Total","Correctional system is effective in reducing criminal behavior","WJP",NA,"Total","Total","Value",3.04,"Checks and Balances","Judiciary System","Other","Correctional system is effective in reducing criminal behavior (83)",NA,"","","","",NA,NA,"","","","","WJP61","WJP61","GOV","5-WJP-Total",NA
"1926","criminal adjudication system is timely and effective-WJP-Total","6-WJP-Total","8.2","Total","Criminal adjudication system is timely and effective","WJP",NA,"Total","Total","Value",5.53,"Checks and Balances","Judiciary System","Other","Criminal adjudication system is timely and effective (82)",NA,"","","","",NA,NA,"","","","","WJP60","WJP60","GOV","6-WJP-Total",NA
"1927","criminal investigation system is effective-WJP-Total","7-WJP-Total","8.1","Total","Criminal investigation system is effective","WJP",NA,"Total","Total","Value",4.539,"Checks and Balances","Judiciary System","Other","Criminal investigation system is effective (81)",NA,"","","","",NA,NA,"","","","","WJP59","WJP59","GOV","7-WJP-Total",NA
"1928","criminal system is free of corruption-WJP-Total","3-WJP-Total","8.5","Total","Criminal system is free of corruption","WJP",NA,"Total","Total","Value",4.972,"Checks and Balances","Judiciary System","Other","Criminal system is free of corruption (85)","4.002","Absence of Corruption","Prevention and sanction","Other","Criminal system is free of corruption (85)",NA,"4.003","Absence of Corruption","Incidence","Other","Criminal system is free of corruption (85)","WJP63","WJP63","GOV","3-WJP-Total",NA
"1929","criminal system is free of improper government influence-WJP-Total","2-WJP-Total","8.6","Total","Criminal system is free of improper government influence","WJP",NA,"Total","Total","Value",4.013,"Checks and Balances","Judiciary System","Other","Criminal system is free of improper government influence (86)","4.005","Absence of Corruption","Prevention and sanction","Other","Criminal system is free of improper government influence (86)",NA,"4.002","Absence of Corruption","Incidence","Other","Criminal system is free of improper government influence (86)","WJP64","WJP64","GOV","2-WJP-Total",NA
"1930","criminal system is impartial-WJP-Total","4-WJP-Total","8.4","Total","Criminal system is impartial","WJP",NA,"Total","Total","Value",5.323,"Checks and Balances","Judiciary System","Other","Criminal system is impartial (84)",NA,"","","","",NA,NA,"","","","","WJP62","WJP62","GOV","4-WJP-Total",NA
"1931","due process is respected in administrative proceedings-WJP-Total","18-WJP-Total","6.4","Total","Due process is respected in administrative proceedings","WJP",NA,"Total","Total","Value",2.06,"Public Sector Management","Enforcement","Other","Due process is respected in administrative proceedings (64)",NA,"","","","",NA,NA,"","","","","WJP46","WJP46","GOV","18-WJP-Total",NA
"1936","due process of law and the rights of the accused-WJP-Total","72-WJP-Total","8.7","Total","Due process of law and the rights of the accused","WJP",NA,"Total","Total","Value",4.717,"Checks and Balances","Judiciary System","Other","Due process of law and the rights of the accused (87)",NA,"","","","",NA,NA,"","","","","WJP66","WJP66","GOV","72-WJP-Total",NA
"1937","equal treatment and absence of discrimination-WJP-Total","35-WJP-Total","4.1","Total","Equal treatment and absence of discrimination","WJP",NA,"Total","Total","Value",2.02,"Citizen Engagement","Civil Rights","Other","Equal treatment and absence of discrimination (41)",NA,"","","","",NA,NA,"","","","","WJP28","WJP28","GOV","35-WJP-Total",NA
"1938","freedom from arbitrary interference with privacy is effectively guaranteed-WJP-Total","30-WJP-Total","4.6","Total","Freedom from arbitrary interference with privacy is effectively guaranteed","WJP",NA,"Total","Total","Value",4.231,"Citizen Engagement","Civil Rights","Other","Freedom from arbitrary interference with privacy is effectively guaranteed (46)",NA,"","","","",NA,NA,"","","","","WJP33","WJP33","GOV","30-WJP-Total",NA
"1939","freedom of assembly and association is effectively guaranteed-WJP-Total","29-WJP-Total","4.7","Total","Freedom of assembly and association is effectively guaranteed","WJP",NA,"Total","Total","Value",4.223,"Citizen Engagement","Civil Society Participation","Other","Freedom of assembly and association is effectively guaranteed (47)",NA,"","","","",NA,NA,"","","","","WJP34","WJP34","GOV","29-WJP-Total",NA
"1940","freedom of belief and religion is effectively guaranteed-WJP-Total","31-WJP-Total","4.5","Total","Freedom of belief and religion is effectively guaranteed","WJP",NA,"Total","Total","Value",2.01,"Citizen Engagement","Civil Rights","Other","Freedom of belief and religion is effectively guaranteed (45)",NA,"","","","",NA,NA,"","","","","WJP32","WJP32","GOV","31-WJP-Total",NA
"1941","freedom of opinion and expression is effectively guaranteed-WJP-Total","32-WJP-Total","4.4","Total","Freedom of opinion and expression is effectively guaranteed","WJP",NA,"Total","Total","Value",1.02,"Citizen Engagement","Freedom of expression","Other","Freedom of opinion and expression is effectively guaranteed (44)",NA,"","","","",NA,NA,"","","","","WJP31","WJP31","GOV","32-WJP-Total",NA
"1942","fundamental labor rights are effectively guaranteed-WJP-Total","28-WJP-Total","4.8","Total","Fundamental labor rights are effectively guaranteed","WJP",NA,"Total","Total","Value",4.265,"Citizen Engagement","Civil Rights","Other","Fundamental labor rights are effectively guaranteed (48)",NA,"","","","",NA,NA,"","","","","WJP35","WJP35","GOV","28-WJP-Total",NA
"1947","government officials in the executive branch do not use public office for private gain-WJP-Total","44-WJP-Total","2.1","Total","Government officials in the executive branch do not use public office for private gain","WJP",NA,"Total","Total","Value",4.672,"Public Sector Management","Personnel Management","Other","Government officials in the executive branch do not use public office for private gain (21)","4.004","Absence of Corruption","Perception","Other","Government officials in the executive branch do not use public office for private gain (21)",NA,NA,"","","","","WJP13","WJP13","GOV","44-WJP-Total",NA
"1948","government officials in the judicial branch do not use public office for private gain-WJP-Total","43-WJP-Total","2.2","Total","Government officials in the judicial branch do not use public office for private gain","WJP",NA,"Total","Total","Value",4.122,"Absence of Corruption","Perception","Other","Government officials in the judicial branch do not use public office for private gain (22)",NA,"","","","",NA,NA,"","","","","WJP14","WJP14","GOV","43-WJP-Total",NA
"1949","government officials in the legislative branch do not use public office for private gain-WJP-Total","41-WJP-Total","2.4","Total","Government officials in the legislative branch do not use public office for private gain","WJP",NA,"Total","Total","Value",5.366,"Checks and Balances","Legislative System","Other","Government officials in the legislative branch do not use public office for private gain (24)","4.003","Absence of Corruption","Perception","Other","Government officials in the legislative branch do not use public office for private gain (24)",NA,NA,"","","","","WJP16","WJP16","GOV","41-WJP-Total",NA
"1950","government officials in the police and the military do not use public office for private gain-WJP-Total","42-WJP-Total","2.3","Total","Government officials in the police and the military do not use public office for private gain","WJP",NA,"Total","Total","Value",3.05,"Absence of Corruption","Perception","Other","Government officials in the police and the military do not use public office for private gain (23)","4.007","Security","Police and Military","Other","Government officials in the police and the military do not use public office for private gain (23)",NA,NA,"","","","","WJP15","WJP15","GOV","42-WJP-Total",NA
"1967","government regulations are applied and enforced without improper influence-WJP-Total","20-WJP-Total","6.2","Total","Government regulations are applied and enforced without improper influence","WJP",NA,"Total","Total","Value",4.289,"Public Sector Management","Enforcement","Other","Government regulations are applied and enforced without improper influence (62)",NA,"","","","",NA,NA,"","","","","WJP44","WJP44","GOV","20-WJP-Total",NA
"1968","government regulations are effectively enforced-WJP-Total","21-WJP-Total","6.1","Total","Government regulations are effectively enforced","WJP",NA,"Total","Total","Value",3.05,"Public Sector Management","Enforcement","Other","Government regulations are effectively enforced (61)",NA,"","","","",NA,NA,"","","","","WJP43","WJP43","GOV","21-WJP-Total",NA
"1973","people can access and afford civil justice-WJP-Total","15-WJP-Total","7.1","Total","People can access and afford civil justice","WJP",NA,"Total","Total","Value",4.262,"Checks and Balances","Judiciary System","Other","People can access and afford civil justice (71)",NA,"","","","",NA,NA,"","","","","WJP49","WJP49","GOV","15-WJP-Total",NA
"1978","publicized laws and government data-WJP-Total","61-WJP-Total","3.1","Total","Publicized laws and government data","WJP",NA,"Total","Total","Value",4.03,"Security","Crime","Other","Publicized laws and government data (31)",NA,"","","","",NA,NA,"","","","","WJP18","WJP18","GOV","61-WJP-Total",NA
"1979","right to information-WJP-Total","62-WJP-Total","3.2","Total","Right to information","WJP",NA,"Total","Total","Value",4.045,"Security","Crime","Other","Right to information (32)",NA,"","","","",NA,NA,"","","","","WJP21","WJP21","GOV","62-WJP-Total",NA
"1984","the government does not expropriate without adequate compensation-WJP-Total","17-WJP-Total","6.5","Total","The Government does not expropriate without adequate compensation","WJP",NA,"Total","Total","Value",4.496,"Public Sector Management","Enforcement","Other","The Government does not expropriate without adequate compensation (65)",NA,"","","","",NA,NA,"","","","","WJP47","WJP47","GOV","17-WJP-Total",NA
"1985","the government does not expropriate without lawful process and adequate compensation-WJP-Total","69-WJP-Total","6.5","Total","The government does not expropriate without lawful process and adequate compensation","WJP",NA,"Total","Total","Value",4.36,"Public Sector Management","Enforcement","Other","The government does not expropriate without lawful process and adequate compensation (65)",NA,"","","","",NA,NA,"","","","","WJP48","WJP48","GOV","69-WJP-Total",NA
"1994","the right to life and security of the person is effectively guaranteed-WJP-Total","34-WJP-Total","4.2","Total","The right to life and security of the person is effectively guaranteed","WJP",NA,"Total","Total","Value",4.184,"Citizen Engagement","Civil Rights","Other","The right to life and security of the person is effectively guaranteed (42)",NA,"","","","",NA,NA,"","","","","WJP29","WJP29","GOV","34-WJP-Total",NA
"1999","accounting standards used-PEFA-Total","85-PEFA-Total","accounting standards used","Total","Accounting standards used","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.667,"Public Sector Management","Public Expenditure Management","Other","Accounting standards used (iii)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA90","PEFA90","GOV","85-PEFA-Total",NA
"2000","actual domestic revenue collection compared to domestic revenue in the originally approved budget-PEFA-Total","7-PEFA-Total","actual domestic revenue collection compared to domestic revenue in the originally approved budget","Total","Actual domestic revenue collection compared to domestic revenue in the originally approved budget","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.082,"Public Sector Management","Public Expenditure Management","Other","Actual domestic revenue collection compared to domestic revenue in the originally approved budget",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA33","PEFA33","GOV","7-PEFA-Total",NA
"2001","aggregate expenditure out-turn compared to original approved budget-PEFA-Total","1-PEFA-Total","aggregate expenditure out-turn compared to original approved budget","Total","Aggregate expenditure out-turn compared to original approved budget","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.946,"Public Sector Management","Public Expenditure Management","Other","Aggregate expenditure out-turn compared to original approved budget",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA1","PEFA1","GOV","1-PEFA-Total",NA
"2002","aggregate revenue out-turn compared to original approved budget-PEFA-Total","6-PEFA-Total","aggregate revenue out-turn compared to original approved budget","Total","Aggregate revenue out-turn compared to original approved budget","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",5.042,"Public Sector Management","Public Expenditure Management","Other","Aggregate revenue out-turn compared to original approved budget¥Ë_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA2","PEFA2","GOV","6-PEFA-Total",NA
"2003","annual deviation of actual budget support from the forecast provided by the donor agencies at least six weeks prior to the government submitting its budget proposals to the legislature or equivalent approving body-PEFA-Total","100-PEFA-Total","annual deviation of actual budget support from the forecast provided by the donor agencies at least six weeks prior to the government submitting its budget proposals to the legislature or equivalent approving body","Total","Annual deviation of actual budget support from the forecast provided by the donor agencies at least six weeks prior to the government submitting its budget proposals to the legislature or equivalent approving body","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.712,"Public Sector Management","Public Expenditure Management","Other","Annual deviation of actual budget support from the forecast provided by the donor agencies at least six weeks prior to the government submitting its budget proposals to the legislature/equivalent (i)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA34","PEFA34","GOV","100-PEFA-Total",NA
"2004","annual deviation of actual total hlg transfers from the original total estimated amount provided by hlg to the sn entity for inclusion in the latter's budget-PEFA-Total","109-PEFA-Total","annual deviation of actual total hlg transfers from the original total estimated amount provided by hlg to the sn entity for inclusion in the latter's budget","Total","Annual deviation of actual total hlg transfers from the original total estimated amount provided by hlg to the sn entity for inclusion in the latter's budget","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.019,"Public Sector Management","Public Expenditure Management","Other","Annual deviation of actual total HLG transfers from the original total estimated amount provided by HLG to the SN entity for inclusion in the latter's budget (i)¥Ë_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA35","PEFA35","GOV","109-PEFA-Total",NA
"2005","annual variance between actual and estimated transfers of earmarked grants-PEFA-Total","110-PEFA-Total","annual variance between actual and estimated transfers of earmarked grants","Total","Annual variance between actual and estimated transfers of earmarked grants","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.142,"Public Sector Management","Public Expenditure Management","Other","Annual variance between actual and estimated transfers of earmarked grants (ii)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA65","PEFA65","GOV","110-PEFA-Total",NA
"2006","availability of data for monitoring the stock of expenditure payment arrears-PEFA-Total","10-PEFA-Total","availability of data for monitoring the stock of expenditure payment arrears","Total","Availability of data for monitoring the stock of expenditure payment arrears","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.741,"Public Sector Management","Public Expenditure Management","Other","Availability of data for monitoring the stock of expenditure payment arrears (ii)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA66","PEFA66","GOV","10-PEFA-Total",NA
"2007","availability of information on resources received by service delivery units-PEFA-Total","76-PEFA-Total","availability of information on resources received by service delivery units","Total","Availability of information on resources received by service delivery units","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.964,"Public Sector Management","Public Expenditure Management","Other","Availability of information on resources received by service delivery units",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA3","PEFA3","GOV","76-PEFA-Total",NA
"2008","clarity and comprehensiveness of tax liabilities-PEFA-Total","36-PEFA-Total","clarity and comprehensiveness of tax liabilities","Total","Clarity and comprehensiveness of tax liabilities","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.044,"Public Sector Management","Public Expenditure Management","Other","Clarity and comprehensiveness of tax liabilities (i)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA36","PEFA36","GOV","36-PEFA-Total",NA
"2009","claritycomprehensiveness of and political involvement in the guidance on the preparation of budget submissions budget circular or equivalent-PEFA-Total","28-PEFA-Total","claritycomprehensiveness of and political involvement in the guidance on the preparation of budget submissions budget circular or equivalent","Total","Claritycomprehensiveness of and political involvement in the guidance on the preparation of budget submissions budget circular or equivalent","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.945,"Public Sector Management","Public Expenditure Management","Other","Clarity-comprehensiveness of and political involvement in the guidance on the preparation of budget submissions budget circular or equivalent (ii)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA67","PEFA67","GOV","28-PEFA-Total",NA
"2010","classification of the budget-PEFA-Total","11-PEFA-Total","classification of the budget","Total","Classification of the budget","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.684,"Public Sector Management","Public Expenditure Management","Other","Classification of the budget",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA4","PEFA4","GOV","11-PEFA-Total",NA
"2011","collection ratio for gross tax arrears being the percentage of tax arrears at the beginning of a fiscal year which was collected during that fiscal year average of the last two fiscal years-PEFA-Total","44-PEFA-Total","collection ratio for gross tax arrears being the percentage of tax arrears at the beginning of a fiscal year which was collected during that fiscal year average of the last two fiscal years","Total","Collection ratio for gross tax arrears being the percentage of tax arrears at the beginning of a fiscal year which was collected during that fiscal year average of the last two fiscal years","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.157,"Public Sector Management","Public Expenditure Management","Other","Collection ratio for gross tax arrears being the percentage of tax arrears at the beginning of a fiscal year which was collected during that fiscal year average of the last two fiscal years (i)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA38","PEFA38","GOV","44-PEFA-Total",NA
"2012","completeness and timeliness of budget estimates by donors for project support-PEFA-Total","103-PEFA-Total","completeness and timeliness of budget estimates by donors for project support","Total","Completeness and timeliness of budget estimates by donors for project support","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.886,"Public Sector Management","Public Expenditure Management","Other","Completeness and timeliness of budget estimates by donors for project support (i)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA39","PEFA39","GOV","103-PEFA-Total",NA
"2013","completeness of the financial statements-PEFA-Total","83-PEFA-Total","completeness of the financial statements","Total","Completeness of the financial statements","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.546,"Public Sector Management","Public Expenditure Management","Other","Completeness of the financial statements (i)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA40","PEFA40","GOV","83-PEFA-Total",NA
"2014","composition of expenditure out-turn compared to original approved budget-PEFA-Total","3-PEFA-Total","composition of expenditure out-turn compared to original approved budget","Total","Composition of expenditure out-turn compared to original approved budget","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.316,"Public Sector Management","Public Expenditure Management","Other","Composition of expenditure outturn compared to original approved budget",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA5","PEFA5","GOV","3-PEFA-Total",NA
"2015","comprehensiveness of information included in budget documentation-PEFA-Total","13-PEFA-Total","comprehensiveness of information included in budget documentation","Total","Comprehensiveness of information included in budget documentation","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.434,"Public Sector Management","Public Expenditure Management","Other","Comprehensiveness of information included in budget documentation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA6","PEFA6","GOV","13-PEFA-Total",NA
"2016","comprehensiveness relevance and understanding of other internal control rules procedures-PEFA-Total","67-PEFA-Total","comprehensiveness relevance and understanding of other internal control rules procedures","Total","Comprehensiveness relevance and understanding of other internal control rules procedures","PEFA",NA,"1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.368,"Public Sector Management","Public Expenditure Management","Other","Comprehensiveness relevance and understanding of other internal control rules procedures (ii)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEFA68","PEFA68","GOV","67-PEFA-Total",NA
