"","Indicator","Dataset","Indicator_Name","answer","Display_Name","Indicator_Id","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Category_15","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description"
"141","multiyear perspective in fiscal planning expenditure policy and budgeting-PEFA-Total","PEFA","multiyear perspective in fiscal planning expenditure policy and budgeting","Total","Multiyear perspective in fiscal planning expenditure policy and budgeting","30-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.265,"Public Sector Management","Public Expenditure Management","Other","Multiyear perspective in fiscal planning expenditure policy and budgeting","",NA,"","","","","",NA,"","","","","PEFA16","PEFA16","","",""
"142","nature of audits and standards applied-PEFA-Total","PEFA","nature of audits and standards applied","Total","Nature of audits and standards applied","229-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"143","nonfinancial asset monitoring-PEFA-Total","PEFA","nonfinancial asset monitoring","Total","Nonfinancial asset monitoring","143-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"144","number of the above listed elements of public access to information that is fulfilled in order to count in the assessment the full specification of the information benchmark must be met-PEFA-Total","PEFA","number of the above listed elements of public access to information that is fulfilled in order to count in the assessment the full specification of the information benchmark must be met","Total","Number of the above listed elements of public access to information that is fulfilled in order to count in the assessment the full specification of the information benchmark must be met","25-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",5.051,"Public Sector Management","Public Expenditure Management","Other","Number of the above listed elements of public access to information that is fulfilled in order to count in the assessment the full specification of the information benchmark must be met (i)","",NA,"","","","","",NA,"","","","","PEFA49","PEFA49","","",""
"145","orderliness and participation in the annual budget process-PEFA-Total","PEFA","orderliness and participation in the annual budget process","Total","Orderliness and participation in the annual budget process","26-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.089,"Public Sector Management","Public Expenditure Management","Other","Orderliness and participation in the annual budget process","",NA,"","","","","",NA,"","","","","PEFA17","PEFA17","","",""
"146","overall proportation of aid funds to central government that are managed through national procedures-PEFA-Total","PEFA","overall proportation of aid funds to central government that are managed through national procedures","Total","Overall proportation of aid funds to central government that are managed through national procedures","106-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"147","oversight of aggregate fiscal risk from other public sector entities-PEFA-Total","PEFA","oversight of aggregate fiscal risk from other public sector entities","Total","Oversight of aggregate fiscal risk from other public sector entities","21-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.67,"Public Sector Management","Public Expenditure Management","Other","Oversight of aggregate fiscal risk from other public sector entities","",NA,"","","","","",NA,"","","","","PEFA18","PEFA18","","",""
"148","payroll audit-PEFA-Total","PEFA","payroll audit","Total","Payroll audit","190-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"149","payroll controls-PEFA-Total","PEFA","payroll controls","Total","Payroll controls","186-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"150","performance achieed for serice deliery-PEFA-Total","PEFA","performance achieed for serice deliery","Total","Performance achieed for serice deliery","128-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"151","performance information for serice deliery-PEFA-Total","PEFA","performance information for serice deliery","Total","Performance information for serice deliery","126-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"152","performance plans for serice deliery-PEFA-Total","PEFA","performance plans for serice deliery","Total","Performance plans for serice deliery","127-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"153","planning and monitoring of tax audit and fraud investigation programs-PEFA-Total","PEFA","planning and monitoring of tax audit and fraud investigation programs","Total","Planning and monitoring of tax audit and fraud investigation programs","42-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",5.091,"Public Sector Management","Public Expenditure Management","Other","Planning and monitoring of tax audit and fraud investigation programs (iii)","",NA,"","","","","",NA,"","","","","PEFA103","PEFA103","","",""
"154","predictability in the availability of funds for commitment of expenditures-PEFA-Total","PEFA","predictability in the availability of funds for commitment of expenditures","Total","Predictability in the availability of funds for commitment of expenditures","47-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.626,"Public Sector Management","Public Expenditure Management","Other","Predictability in the availability of funds for commitment of expenditures","",NA,"","","","","",NA,"","","","","PEFA19","PEFA19","","",""
"155","predictability of direct budget support-PEFA-Total","PEFA","predictability of direct budget support","Total","Predictability of direct budget support","99-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.172,"Public Sector Management","Public Expenditure Management","Other","Predictability of Direct Budget Support","",NA,"","","","","",NA,"","","","","PEFA20","PEFA20","","",""
"156","predictability of in-year resource allocation-PEFA-Total","PEFA","predictability of in-year resource allocation","Total","Predictability of in-year resource allocation","180-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"157","predictability of transfers from higher level of government-PEFA-Total","PEFA","predictability of transfers from higher level of government","Total","Predictability of transfers from higher level of government","108-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.745,"Public Sector Management","Public Expenditure Management","Other","Predictability of Transfers from Higher Level of Government","",NA,"","","","","",NA,"","","","","PEFA21","PEFA21","","",""
"158","preparation of multi year fiscal forecasts and functional allocations-PEFA-Total","PEFA","preparation of multi year fiscal forecasts and functional allocations","Total","Preparation of multi year fiscal forecasts and functional allocations","31-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.103,"Public Sector Management","Public Expenditure Management","Other","Preparation of multi year fiscal forecasts and functional allocations (i)","",NA,"","","","","",NA,"","","","","PEFA51","PEFA51","","",""
"159","procurement complaints management-PEFA-Total","PEFA","procurement complaints management","Total","Procurement complaints management","195-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"160","procurement methods-PEFA-Total","PEFA","procurement methods","Total","Procurement methods","193-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"161","procurement monitoring-PEFA-Total","PEFA","procurement monitoring","Total","Procurement monitoring","192-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"162","procurement-PEFA-Total","PEFA","procurement","Total","Procurement","191-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"163","proportion of aid that is managed by use of national procedures-PEFA-Total","PEFA","proportion of aid that is managed by use of national procedures","Total","Proportion of aid that is managed by use of national procedures","105-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",5.058,"Public Sector Management","Public Expenditure Management","Other","Proportion of aid that is managed by use of national procedures","",NA,"","","","","",NA,"","","","","PEFA22","PEFA22","","",""
"164","public access to complete reliable and timely procurement information-PEFA-Total","PEFA","public access to complete reliable and timely procurement information","Total","Public access to complete reliable and timely procurement information","63-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.432,"Public Sector Management","Public Expenditure Management","Other","Public access to complete reliable and timely procurement information (iii)¥Ë_","",NA,"","","","","",NA,"","","","","PEFA104","PEFA104","","",""
"165","public access to information-PEFA-Total","PEFA","public access to information","Total","Public access to information","131-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"166","public access to key fiscal information-PEFA-Total","PEFA","public access to key fiscal information","Total","Public access to key fiscal information","24-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.346,"Public Sector Management","Public Expenditure Management","Other","Public access to key fiscal information","",NA,"","","","","",NA,"","","","","PEFA23","PEFA23","","",""
"167","public access to procurement information-PEFA-Total","PEFA","public access to procurement information","Total","Public access to procurement information","194-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"168","public asset management-PEFA-Total","PEFA","public asset management","Total","Public asset management","141-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"169","public inestment management-PEFA-Total","PEFA","public inestment management","Total","Public inestment management","136-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"170","quality and timeliness of annual financial statements-PEFA-Total","PEFA","quality and timeliness of annual financial statements","Total","Quality and timeliness of annual financial statements","82-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.661,"Public Sector Management","Public Expenditure Management","Other","Quality and timeliness of annual financial statements","",NA,"","","","","",NA,"","","","","PEFA24","PEFA24","","",""
"171","quality and timeliness of in-year budget reports-PEFA-Total","PEFA","quality and timeliness of in-year budget reports","Total","Quality and timeliness of in-year budget reports","78-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.889,"Public Sector Management","Public Expenditure Management","Other","Quality and timeliness of in-year budget reports¥Ë_","",NA,"","","","","",NA,"","","","","PEFA25","PEFA25","","",""
"172","quality of debt data recording and reporting-PEFA-Total","PEFA","quality of debt data recording and reporting","Total","Quality of debt data recording and reporting","52-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.441,"Public Sector Management","Public Expenditure Management","Other","Quality of debt data recording and reporting (i)","",NA,"","","","","",NA,"","","","","PEFA52","PEFA52","","",""
"173","quality of information-PEFA-Total","PEFA","quality of information","Total","Quality of information","81-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.052,"Public Sector Management","Public Expenditure Management","Other","Quality of information (iii)","",NA,"","","","","",NA,"","","","","PEFA105","PEFA105","","",""
"174","recommendations on audit by the legislature-PEFA-Total","PEFA","recommendations on audit by the legislature","Total","Recommendations on audit by the legislature","222-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"175","recording and management of cash balances debt and guarantees-PEFA-Total","PEFA","recording and management of cash balances debt and guarantees","Total","Recording and management of cash balances debt and guarantees","51-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.047,"Public Sector Management","Public Expenditure Management","Other","Recording and management of cash balances debt and guarantees","",NA,"","","","","",NA,"","","","","PEFA26","PEFA26","","",""
"176","recording and reporting of debt and guarantees-PEFA-Total","PEFA","recording and reporting of debt and guarantees","Total","Recording and reporting of debt and guarantees","146-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"177","reenue administration-PEFA-Total","PEFA","reenue administration","Total","Reenue administration","171-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"178","reenue audit and inestigation-PEFA-Total","PEFA","reenue audit and inestigation","Total","Reenue audit and inestigation","174-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"179","reenue composition out-turn-PEFA-Total","PEFA","reenue composition out-turn","Total","Reenue composition out-turn","119-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"180","reenue out-turn -PEFA-Total","PEFA","reenue out-turn ","Total","Reenue out-turn","117-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"181","reenue outside financial reports-PEFA-Total","PEFA","reenue outside financial reports","Total","Reenue outside financial reports","225-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"182","reenue risk management-PEFA-Total","PEFA","reenue risk management","Total","Reenue risk management","173-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"183","regularity of bank reconciliations-PEFA-Total","PEFA","regularity of bank reconciliations","Total","Regularity of bank reconciliations","74-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.033,"Public Sector Management","Public Expenditure Management","Other","Regularity of bank reconciliations (i)","",NA,"","","","","",NA,"","","","","PEFA53","PEFA53","","",""
"184","regularity of reconciliation and clearance of suspense accounts and advances-PEFA-Total","PEFA","regularity of reconciliation and clearance of suspense accounts and advances","Total","Regularity of reconciliation and clearance of suspense accounts and advances","75-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.436,"Public Sector Management","Public Expenditure Management","Other","Regularity of reconciliation and clearance of suspense accounts and advances (ii)","",NA,"","","","","",NA,"","","","","PEFA79","PEFA79","","",""
"185","reliability and horizon of periodic in-year information to mdas on ceilings for expenditure commitments-PEFA-Total","PEFA","reliability and horizon of periodic in-year information to mdas on ceilings for expenditure commitments","Total","Reliability and horizon of periodic in-year information to mdas on ceilings for expenditure commitments","49-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.123,"Public Sector Management","Public Expenditure Management","Other","Reliability and horizon of periodic in-year information to MDAs on ceilings for expenditure commitments (ii) ¥Ë_","",NA,"","","","","",NA,"","","","","PEFA80","PEFA80","","",""
"186","reporting on fiscal outcomes-PEFA-Total","PEFA","reporting on fiscal outcomes","Total","Reporting on fiscal outcomes","156-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"187","resources receied by serice deliery units-PEFA-Total","PEFA","resources receied by serice deliery units","Total","Resources receied by serice deliery units","129-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"188","response to internal audits-PEFA-Total","PEFA","response to internal audits","Total","Response to internal audits","231-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"189","rights and obligations for reenue measures-PEFA-Total","PEFA","rights and obligations for reenue measures","Total","Rights and obligations for reenue measures","172-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"190","rules for budget adjustments by the executie-PEFA-Total","PEFA","rules for budget adjustments by the executie","Total","Rules for budget adjustments by the executie","170-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"191","rules for in-year amendments to the budget without ex-ante approval by the legislature-PEFA-Total","PEFA","rules for in-year amendments to the budget without ex-ante approval by the legislature","Total","Rules for in-year amendments to the budget without ex-ante approval by the legislature","94-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.906,"Public Sector Management","Public Expenditure Management","Other","Rules for in-year amendments to the budget without ex-ante approval by the legislature (iv) ","",NA,"","","","","",NA,"","","","","PEFA111","PEFA111","","",""
"192","scope and frequency of debt sustainability analysis-PEFA-Total","PEFA","scope and frequency of debt sustainability analysis","Total","Scope and frequency of debt sustainability analysis","32-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.695,"Public Sector Management","Public Expenditure Management","Other","Scope and frequency of debt sustainability analysis (ii)","",NA,"","","","","",NA,"","","","","PEFA81","PEFA81","","",""
"193","scope nature and follow-up of external audit-PEFA-Total","PEFA","scope nature and follow-up of external audit","Total","Scope nature and follow-up of external audit","86-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.403,"Public Sector Management","Public Expenditure Management","Other","Scope nature and follow-up of external audit","",NA,"","","","","",NA,"","","","","PEFA27","PEFA27","","",""
"194","scope of budget scrutiny-PEFA-Total","PEFA","scope of budget scrutiny","Total","Scope of budget scrutiny","167-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"195","scope of reports in terms of coverage and compatibility with budget estimates-PEFA-Total","PEFA","scope of reports in terms of coverage and compatibility with budget estimates","Total","Scope of reports in terms of coverage and compatibility with budget estimates","79-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.666,"Public Sector Management","Public Expenditure Management","Other","Scope of reports in terms of coverage and compatibility with budget estimates (i)","",NA,"","","","","",NA,"","","","","PEFA54","PEFA54","","",""
"196","scope of the legislature’s scrutiny-PEFA-Total","PEFA","scope of the legislature’s scrutiny","Total","Scope of the legislature’s scrutiny","91-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.656,"Public Sector Management","Public Expenditure Management","Other","Scope of the legislatures scrutiny (i)","",NA,"","","","","",NA,"","","","","PEFA55","PEFA55","","",""
"197","scopenature of audit performed incl adherence to auditing standards-PEFA-Total","PEFA","scopenature of audit performed incl adherence to auditing standards","Total","Scopenature of audit performed incl adherence to auditing standards","87-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"198","segregation of duties-PEFA-Total","PEFA","segregation of duties","Total","Segregation of duties","197-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"199","share of the listed information under pi6 in the pfm pmf booklet in the budget documentation most recently issued by the central government in order to count in the assessment the full specification of the information benchmark must be met-PEFA-Total","PEFA","share of the listed information under pi6 in the pfm pmf booklet in the budget documentation most recently issued by the central government in order to count in the assessment the full specification of the information benchmark must be met","Total","Share of the listed information under pi6 in the pfm pmf booklet in the budget documentation most recently issued by the central government in order to count in the assessment the full specification of the information benchmark must be met","14-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"200","significance of in-year budget adjustments-PEFA-Total","PEFA","significance of in-year budget adjustments","Total","Significance of in-year budget adjustments","184-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"201","stock and monitoring of expenditure payment arrears-PEFA-Total","PEFA","stock and monitoring of expenditure payment arrears","Total","Stock and monitoring of expenditure payment arrears","8-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.564,"Public Sector Management","Public Expenditure Management","Other","Stock and monitoring of expenditure payment arrears","",NA,"","","","","",NA,"","","","","PEFA28","PEFA28","","",""
"202","stock of expenditure arrears-PEFA-Total","PEFA","stock of expenditure arrears","Total","Stock of expenditure arrears","232-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"203","stock of expenditure payment arrears as a percentage of actual total expenditure for the corresponding fiscal year and any recent change in the stock-PEFA-Total","PEFA","stock of expenditure payment arrears as a percentage of actual total expenditure for the corresponding fiscal year and any recent change in the stock","Total","Stock of expenditure payment arrears as a percentage of actual total expenditure for the corresponding fiscal year and any recent change in the stock","9-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.744,"Public Sector Management","Public Expenditure Management","Other","Stock of expenditure payment arrears as a percentage of actual total expenditure for the corresponding fiscal year and any recent change in the stock (i)","",NA,"","","","","",NA,"","","","","PEFA58","PEFA58","","",""
"204","submission of audit reports to the legislature-PEFA-Total","PEFA","submission of audit reports to the legislature","Total","Submission of audit reports to the legislature","216-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"205","submission of reports for external audit-PEFA-Total","PEFA","submission of reports for external audit","Total","Submission of reports for external audit","212-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"206","suspense accounts-PEFA-Total","PEFA","suspense accounts","Total","Suspense accounts","203-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"207","system for allocating transfers-PEFA-Total","PEFA","system for allocating transfers","Total","System for allocating transfers","124-PEFA-Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"208","systems for contracting loans and issuance of guarantees-PEFA-Total","PEFA","systems for contracting loans and issuance of guarantees","Total","Systems for contracting loans and issuance of guarantees","54-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",5.115,"Public Sector Management","Public Expenditure Management","Other","Systems for contracting loans and issuance of guarantees (iii)","",NA,"","","","","",NA,"","","","","PEFA106","PEFA106","","",""
"209","taxpayer access to information on tax liabilities and administrative procedures-PEFA-Total","PEFA","taxpayer access to information on tax liabilities and administrative procedures","Total","Taxpayer access to information on tax liabilities and administrative procedures","37-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.128,"Public Sector Management","Public Expenditure Management","Other","Taxpayer access to information on tax liabilities and administrative procedures (ii)","",NA,"","","","","",NA,"","","","","PEFA82","PEFA82","","",""
"210","the average amount of expenditure actually charged to the contingency vote over the last three years-PEFA-Total","PEFA","the average amount of expenditure actually charged to the contingency vote over the last three years","Total","The average amount of expenditure actually charged to the contingency vote over the last three years","5-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.612,"Public Sector Management","Public Expenditure Management","Other","The average amount of expenditure actually charged to the contingency vote over the last three years (ii)","",NA,"","","","","",NA,"","","","","PEFA83","PEFA83","","",""
"211","the classification system used for formulation execution and reporting of the central governments budget-PEFA-Total","PEFA","the classification system used for formulation execution and reporting of the central governments budget","Total","The classification system used for formulation execution and reporting of the central governments budget","12-PEFA-Total","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","1 D 1.5 D+ 2 C 2.5 C+ 3 B 3.5 B+ 4 A","Encoded Values",4.936,"Public Sector Management","Public Expenditure Management","Other","The classification system used for formulation execution and reporting of the central governments budget (i)","",NA,"","","","","",NA,"","","","","PEFA59","PEFA59","","",""
