"","Indicator","Indicator_Id","Indicator_Name","answer","Dataset","Display_Name","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Category_15","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description"
"212","Prevalence of trade barriers-GCI-Value","169-GCI-Value","Prevalence of trade barriers, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"213","Primary education enrollment net-GCI-Rank","120-GCI-Rank","Primary education enrollment, net %*","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"214","Primary education enrollment net-GCI-Value","119-GCI-Value","Primary education enrollment, net %*","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"215","Primary education-GCI-Rank","122-GCI-Rank","B. Primary education","Rank","GCI","Primary education","Rank","Rank","Value",4.377,"Public Sector Management","Service Delivery","Other","Primary education","",NA,"","","","","",NA,"","","","","GCI149.1","28930","","",""
"216","Primary education-GCI-Value","121-GCI-Value","B. Primary education","Value","GCI","Primary education","Value","Value","Index",4.377,"Public Sector Management","Service Delivery","Other","Primary education","",NA,"","","","","",NA,"","","","","GCI149.2","GCI149","","",""
"217","Private institutions-GCI-Rank","60-GCI-Rank","B. Private institutions","Rank","GCI","Private institutions","Rank","Rank","Value",4.08,"Private Sector Interface","Corporate Governance","Other","Private institutions","",NA,"","","","","",NA,"","","","","GCI150.1","28932","","",""
"218","Private institutions-GCI-Value","59-GCI-Value","B. Private institutions","Value","GCI","Private institutions","Value","Value","Index",4.08,"Private Sector Interface","Corporate Governance","Other","Private institutions","",NA,"","","","","",NA,"","","","","GCI150.2","GCI150","","",""
"219","Production process sophistication-GCI-Rank","286-GCI-Rank","Production process sophistication, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"220","Production process sophistication-GCI-Value","285-GCI-Value","Production process sophistication, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"221","Property rights-GCI-Rank","6-GCI-Rank","1. Property rights","Rank","GCI","Property rights (WEF)","Rank","Rank","Value",4.108,"Private Sector Interface","Property rights and contracts","Other","Property rights","",NA,"","","","","",NA,"","","","","GCI3.1","Delete","","",""
"222","Property rights-GCI-Rank","2-GCI-Rank","Property rights, 1-7 (best)","Rank","GCI","Property rights (WEF)","Rank","Rank","Value",4.108,"Private Sector Interface","Property rights and contracts","Other","Property rights","",NA,"","","","","",NA,"","","","","GCI3.1","Delete","","",""
"223","Property rights-GCI-Value","5-GCI-Value","1. Property rights","Value","GCI","Property rights (WEF)","Value","Value","Index",4.108,"Private Sector Interface","Property rights and contracts","Other","Property rights","",NA,"","","","","",NA,"","","","","GCI3.2","Delete","","",""
"224","Property rights-GCI-Value","1-GCI-Value","Property rights, 1-7 (best)","Value","GCI","Property rights (WEF)","Value","Value","Index",4.108,"Private Sector Interface","Property rights and contracts","Other","Property rights","",NA,"","","","","",NA,"","","","","GCI3.2","Delete","","",""
"225","Protection of minority shareholders  interests-GCI-Rank","54-GCI-Rank","Protection of minority shareholders’ interests, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"226","Protection of minority shareholders  interests-GCI-Value","53-GCI-Value","Protection of minority shareholders’ interests, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"227","Public institutions-GCI-Rank","44-GCI-Rank","A. Public institutions","Rank","GCI","Public institutions","Rank","Rank","Value",2.07,"General Governance","Overall Governance","Other","Public institutions","",NA,"","","","","",NA,"","","","","GCI141.1","28918","","",""
"228","Public institutions-GCI-Value","43-GCI-Value","A. Public institutions","Value","GCI","Public institutions","Value","Value","Index",2.07,"General Governance","Overall Governance","Other","Public institutions","",NA,"","","","","",NA,"","","","","GCI141.2","GCI141","","",""
"229","Public trust in politicians-GCI-Rank","10-GCI-Rank","Public trust in politicians, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"230","Public trust in politicians-GCI-Value","9-GCI-Value","Public trust in politicians, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"231","Quality of air transport infrastructure-GCI-Rank","72-GCI-Rank","Quality of air transport infrastructure, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"232","Quality of air transport infrastructure-GCI-Value","71-GCI-Value","Quality of air transport infrastructure, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"233","Quality of demand conditions-GCI-Rank","190-GCI-Rank","B. Quality of demand conditions","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"234","Quality of demand conditions-GCI-Value","189-GCI-Value","B. Quality of demand conditions","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"235","Quality of education-GCI-Rank","142-GCI-Rank","B. Quality of education","Rank","GCI","Quality of education","Rank","Rank","Value",4.687,"Public Sector Management","Service Delivery","Other","Quality of education","",NA,"","","","","",NA,"","","","","GCI152.1","28934","","",""
"236","Quality of education-GCI-Value","141-GCI-Value","B. Quality of education","Value","GCI","Quality of education","Value","Value","Index",4.687,"Public Sector Management","Service Delivery","Other","Quality of education","",NA,"","","","","",NA,"","","","","GCI152.2","GCI152","","",""
"237","Quality of electricity supply-GCI-Rank","78-GCI-Rank","Quality of electricity supply, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"238","Quality of electricity supply-GCI-Value","77-GCI-Value","Quality of electricity supply, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"239","Quality of management schools-GCI-Rank","138-GCI-Rank","Quality of management schools, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"240","Quality of management schools-GCI-Value","137-GCI-Value","Quality of management schools, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"241","Quality of math and science education-GCI-Rank","136-GCI-Rank","Quality of math and science education, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"242","Quality of math and science education-GCI-Value","135-GCI-Value","Quality of math and science education, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"243","Quality of overall infrastructure-GCI-Rank","64-GCI-Rank","Quality of overall infrastructure, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"244","Quality of overall infrastructure-GCI-Value","63-GCI-Value","Quality of overall infrastructure, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"245","Quality of port infrastructure-GCI-Rank","70-GCI-Rank","Quality of port infrastructure, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"246","Quality of port infrastructure-GCI-Value","69-GCI-Value","Quality of port infrastructure, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"247","Quality of primary education-GCI-Rank","118-GCI-Rank","Quality of primary education, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"248","Quality of primary education-GCI-Value","117-GCI-Value","Quality of primary education, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"249","Quality of railroad infrastructure-GCI-Rank","68-GCI-Rank","Quality of railroad infrastructure, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"250","Quality of railroad infrastructure-GCI-Value","67-GCI-Value","Quality of railroad infrastructure, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"251","Quality of roads-GCI-Rank","66-GCI-Rank","Quality of roads, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"252","Quality of roads-GCI-Value","65-GCI-Value","Quality of roads, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"253","Quality of scientific research institutions-GCI-Rank","298-GCI-Rank","Quality of scientific research institutions, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"254","Quality of scientific research institutions-GCI-Value","297-GCI-Value","Quality of scientific research institutions, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"255","Quality of the education system-GCI-Rank","134-GCI-Rank","Quality of the education system, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"256","Quality of the education system-GCI-Value","133-GCI-Value","Quality of the education system, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"257","Quantity of education-GCI-Rank","132-GCI-Rank","A. Quantity of education","Rank","GCI","Quantity of education","Rank","Rank","Value",4.345,"Public Sector Management","Service Delivery","Other","Quantity of education","",NA,"","","","","",NA,"","","","","GCI142.1","28920","","",""
"258","Quantity of education-GCI-Value","131-GCI-Value","A. Quantity of education","Value","GCI","Quantity of education","Value","Value","Index",4.345,"Public Sector Management","Service Delivery","Other","Quantity of education","",NA,"","","","","",NA,"","","","","GCI142.2","GCI142","","",""
"259","rd pillar  Macroeconomic environment-GCI-Rank","98-GCI-Rank","3rd pillar: Macroeconomic environment","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"260","rd pillar  Macroeconomic environment-GCI-Value","97-GCI-Value","3rd pillar: Macroeconomic environment","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"261","Redundancy costs weeks of salary-GCI-Rank","202-GCI-Rank","Redundancy costs, weeks of salary*","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"262","Redundancy costs weeks of salary-GCI-Value","201-GCI-Value","Redundancy costs, weeks of salary*","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"263","Regulation of securities exchanges-GCI-Rank","234-GCI-Rank","Regulation of securities exchanges, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"264","Regulation of securities exchanges-GCI-Value","233-GCI-Value","Regulation of securities exchanges, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"265","Reliability of police services-GCI-Rank","40-GCI-Rank","Reliability of police services, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"266","Reliability of police services-GCI-Value","39-GCI-Value","Reliability of police services, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"267","Reliance on professional management-GCI-Rank","208-GCI-Rank","Reliance on professional management, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"268","Reliance on professional management-GCI-Value","207-GCI-Value","Reliance on professional management, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"269","Secondary education enrollment gross-GCI-Rank","128-GCI-Rank","Secondary education enrollment, gross %*","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"270","Secondary education enrollment gross-GCI-Value","127-GCI-Value","Secondary education enrollment, gross %*","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"271","Security-GCI-Rank","42-GCI-Rank","5. Security","Rank","GCI","Security","Rank","Rank","Value",4.199,"Public Sector Management","Service Delivery","Other","Security","",2.01,"Security","Police and Military","Other","Security","",NA,"","","","","GCI81.1","28966","","",""
"272","Security-GCI-Value","41-GCI-Value","5. Security","Value","GCI","Security","Value","Value","Index",4.199,"Public Sector Management","Service Delivery","Other","Security","",2.01,"Security","Police and Military","Other","Security","",NA,"","","","","GCI81.2","GCI81","","",""
"273","Soundness of banks-GCI-Rank","232-GCI-Rank","Soundness of banks, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"274","Soundness of banks-GCI-Value","231-GCI-Value","Soundness of banks, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"275","st pillar  Institutions-GCI-Rank","62-GCI-Rank","1st pillar: Institutions","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"276","st pillar  Institutions-GCI-Value","61-GCI-Value","1st pillar: Institutions","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"277","State of cluster development-GCI-Rank","282-GCI-Rank","State of cluster development, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"278","State of cluster development-GCI-Value","281-GCI-Value","State of cluster development, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"279","Strength of auditing and reporting standards-GCI-Rank","50-GCI-Rank","Strength of auditing and reporting standards, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"280","Strength of auditing and reporting standards-GCI-Value","49-GCI-Value","Strength of auditing and reporting standards, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"281","Strength of investor protection-GCI-Rank","56-GCI-Rank","Strength of investor protection, 0–10 (best)*","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"282","Strength of investor protection-GCI-Value","55-GCI-Value","Strength of investor protection, 0–10 (best)*","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"283","Technological adoption-GCI-Rank","248-GCI-Rank","A. Technological adoption","Rank","GCI","Technological adoption","Rank","Rank","Value",4.317,"Public Sector Management","Innovation","Other","Technological adoption","",NA,"","","","","",NA,"","","","","GCI143.1","28922","","",""
"284","Technological adoption-GCI-Value","247-GCI-Value","A. Technological adoption","Value","GCI","Technological adoption","Value","Value","Index",4.317,"Public Sector Management","Innovation","Other","Technological adoption","",NA,"","","","","",NA,"","","","","GCI143.2","GCI143","","",""
"285","Tertiary education enrollment gross-GCI-Rank","130-GCI-Rank","Tertiary education enrollment, gross %*","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"286","Tertiary education enrollment gross-GCI-Value","129-GCI-Value","Tertiary education enrollment, gross %*","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"287","th pillar  Business sophistication-GCI-Rank","294-GCI-Rank","11th pillar: Business sophistication ","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"288","th pillar  Business sophistication-GCI-Value","293-GCI-Value","11th pillar: Business sophistication ","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"289","th pillar  Financial market development-GCI-Rank","240-GCI-Rank","8th pillar: Financial market development","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"290","th pillar  Financial market development-GCI-Value","239-GCI-Value","8th pillar: Financial market development","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"291","th pillar  Goods market efficiency-GCI-Rank","192-GCI-Rank","6th pillar: Goods market efficiency","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"292","th pillar  Goods market efficiency-GCI-Value","191-GCI-Value","6th pillar: Goods market efficiency","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"293","th pillar  Health and primary education-GCI-Rank","124-GCI-Rank","4th pillar: Health and primary education","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"294","th pillar  Health and primary education-GCI-Value","123-GCI-Value","4th pillar: Health and primary education","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"295","th pillar  Higher education and training-GCI-Rank","150-GCI-Rank","5th pillar: Higher education and training","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"296","th pillar  Higher education and training-GCI-Value","149-GCI-Value","5th pillar: Higher education and training","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"297","th pillar  Innovation-GCI-Rank","310-GCI-Rank","12th pillar: Innovation","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"298","th pillar  Innovation-GCI-Value","309-GCI-Value","12th pillar: Innovation","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"299","th pillar  Labor market efficiency-GCI-Rank","218-GCI-Rank","7th pillar: Labor market efficiency","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"300","th pillar  Labor market efficiency-GCI-Value","217-GCI-Value","7th pillar: Labor market efficiency","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"301","th pillar  Market size-GCI-Rank","274-GCI-Rank","10th pillar: Market size","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"302","th pillar  Market size-GCI-Value","273-GCI-Value","10th pillar: Market size","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"303","th pillar  Technological readiness-GCI-Rank","260-GCI-Rank","9th pillar: Technological readiness","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"304","th pillar  Technological readiness-GCI-Value","259-GCI-Value","9th pillar: Technological readiness","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"305","Total tax rate   profits-GCI-Rank","166-GCI-Rank","Total tax rate, % profits*","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"306","Total tax rate   profits-GCI-Value","165-GCI-Value","Total tax rate, % profits*","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"307","Trade tariffs   duty-GCI-Rank","180-GCI-Rank","Trade tariffs, % duty*","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"308","Trade tariffs   duty-GCI-Value","179-GCI-Value","Trade tariffs, % duty*","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"309","Transparency of government policymaking-GCI-Rank","30-GCI-Rank","Transparency of government policymaking, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"310","Transparency of government policymaking-GCI-Value","29-GCI-Value","Transparency of government policymaking, 1-7 (best)","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"311","Transport infrastructure-GCI-Rank","76-GCI-Rank","A. Transport infrastructure","Rank","GCI","Transport infrastructure","Rank","Rank","Value",4.646,"Public Sector Management","Service Delivery","Other","Transport infrastructure","",NA,"","","","","",NA,"","","","","GCI144.1","28924","","",""
"312","Transport infrastructure-GCI-Value","75-GCI-Value","A. Transport infrastructure","Value","GCI","Transport infrastructure","Value","Value","Index",4.646,"Public Sector Management","Service Delivery","Other","Transport infrastructure","",NA,"","","","","",NA,"","","","","GCI144.2","GCI144","","",""
"313","Trustworthiness and confidence-GCI-Rank","238-GCI-Rank","B. Trustworthiness and confidence","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"314","Trustworthiness and confidence-GCI-Value","237-GCI-Value","B. Trustworthiness and confidence","Value","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"315","Tuberculosis cases-GCI-Rank","106-GCI-Rank","Tuberculosis cases/100,000 pop.*","Rank","GCI","Tuberculosis cases","Rank","Rank","Value",4.373,"Public Sector Management","Service Delivery","Other","Tuberculosis cases","",NA,"","","","","",NA,"","","","","GCI72.1","28964","","",""
"316","Tuberculosis cases-GCI-Value","105-GCI-Value","Tuberculosis cases/100,000 pop.*","Value","GCI","Tuberculosis cases","100000 pop","100000 pop","Index",4.373,"Public Sector Management","Service Delivery","Other","Tuberculosis cases","",NA,"","","","","",NA,"","","","","GCI72.2","GCI72","","",""
"317","Undue influence-GCI-Rank","20-GCI-Rank","3. Undue influence","Rank","GCI","Undue influence","Rank","Rank","Value",2.02,"Absence of Corruption","Perception","Other","Undue influence","",NA,"","","","","",NA,"","","","","GCI62.1","28950","","",""
"318","Undue influence-GCI-Value","19-GCI-Value","3. Undue influence","Value","GCI","Undue influence","Value","Value","Index",2.02,"Absence of Corruption","Perception","Other","Undue influence","",NA,"","","","","",NA,"","","","","GCI62.2","GCI62","","",""
"319","University industry collaboration in R D-GCI-Rank","302-GCI-Rank","University-industry collaboration in R&D, 1-7 (best)","Rank","GCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
