"","Indicator","Indicator_Id","Indicator_Name","answer","Dataset","Display_Name","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Category_15","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description"
"207","rural development resources ifad-IIAG-Total","61-IIAG-Total","Rural_Development_Resources_(IFAD)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"208","rural financial services development ifad-IIAG-Total","63-IIAG-Total","Rural_Financial_Services_Development_(IFAD)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"209","rural land & water ifad-IIAG-Total","68-IIAG-Total","Rural_Land_&_Water_(IFAD)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"210","rural sector-IIAG-Total","69-IIAG-Total","RURAL_SECTOR","Total","IIAG","Rural Sector","Estimation by Source","Estimation by Source","Index",4.484,"Public Sector Management","Decentralization","Other","Rural Sector  IIAG_calculation","",4.004,"Citizen Engagement","Civil Society Participation","Other","Rural Sector  IIAG_calculation","",4.001,"Citizen Engagement","Open Government and Transparency","Other","Rural Sector  IIAG_calculation","IIAG197","30775","","",""
"211","safety & rule of law-IIAG-Total","248-IIAG-Total","SAFETY_&_RULE_OF_LAW","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"212","safety of the person  eiu-IIAG-Total","205-IIAG-Total","Safety_of_the_Person__(EIU)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"213","safety of the person  eiuafr-IIAG-Total","206-IIAG-Total","Safety_of_the_Person__(EIU/AFR)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"214","secondary school enrolment unesco-IIAG-Total","22-IIAG-Total","Secondary_School_Enrolment_(UNESCO)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"215","social exclusion bs-IIAG-Total","44-IIAG-Total","Social_Exclusion_(BS)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"216","social protection & labour afdb-IIAG-Total","46-IIAG-Total","Social_Protection_&_Labour_(AfDB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"217","social protection & labour afdbwb-IIAG-Total","47-IIAG-Total","Social_Protection_&_Labour_(AfDB/WB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"218","social protection & labour wb-IIAG-Total","45-IIAG-Total","Social_Protection_&_Labour_(WB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"219","social safety nets bs-IIAG-Total","48-IIAG-Total","Social_Safety_Nets_(BS)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"220","social unrest eiu-IIAG-Total","199-IIAG-Total","Social_Unrest_(EIU)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"221","social unrest eiuacled-IIAG-Total","200-IIAG-Total","Social_Unrest_(EIU/ACLED)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"222","soundness of banks wef-IIAG-Total","90-IIAG-Total","Soundness_of_Banks_(WEF)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"223","sustainable economic opportunity-IIAG-Total","123-IIAG-Total","SUSTAINABLE_ECONOMIC_OPPORTUNITY","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"224","taxation capacity ictd-IIAG-Total","105-IIAG-Total","Taxation_Capacity_(ICTD)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"225","tendering process gi-IIAG-Total","96-IIAG-Total","Tendering_Process_(GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"226","tertiary education enrolment unesco-IIAG-Total","21-IIAG-Total","Tertiary_Education_Enrolment_(UNESCO)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"227","trade unions gi-IIAG-Total","147-IIAG-Total","Trade_Unions_(GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"228","transfers of power eiu-IIAG-Total","229-IIAG-Total","Transfers_of_Power_(EIU)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"229","transparency of stateowned companies gi-IIAG-Total","101-IIAG-Total","Transparency_of_State-owned_Companies_(GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"230","transport infrastructure wefafreiugi-IIAG-Total","86-IIAG-Total","Transport_Infrastructure_(WEF/AFR/EIU/GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"231","tuberculosis who-IIAG-Total","8-IIAG-Total","Tuberculosis_(WHO)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"232","undernourishment wb-IIAG-Total","11-IIAG-Total","Undernourishment_(WB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"233","violence by nonstate actors acled-IIAG-Total","186-IIAG-Total","Violence_by_Non-state_Actors_(ACLED)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"234","violent crime eiu-IIAG-Total","196-IIAG-Total","Violent_Crime_(EIU)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"235","water & sanitation services afr-IIAG-Total","70-IIAG-Total","Water_&_Sanitation_Services_(AFR)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"236","water deprivation afr-IIAG-Total","40-IIAG-Total","Water_Deprivation_(AFR)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"237","welfare services afdb-IIAG-Total","50-IIAG-Total","Welfare_Services_(AfDB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"238","welfare services afdbwb-IIAG-Total","51-IIAG-Total","Welfare_Services_(AfDB/WB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"239","welfare services wb-IIAG-Total","49-IIAG-Total","Welfare_Services_(WB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"240","welfare-IIAG-Total","52-IIAG-Total","WELFARE","Total","IIAG","Welfare","Estimation by Source","Estimation by Source","Index",4.998,"Public Sector Management","Service Delivery","Other","Welfare IIAG_calculation","",NA,"","","","","",NA,"","","","","IIAG226","IIAG226","","",""
"241","women in cabinet gi-IIAG-Total","131-IIAG-Total","Women_in_Cabinet_(GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"242","women in ministerial positions giwb-IIAG-Total","132-IIAG-Total","Women_in_Ministerial_Positions_(GI/WB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"243","women in ministerial positions wb-IIAG-Total","130-IIAG-Total","Women_in_Ministerial_Positions_(WB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"244","women in parliament ipu-IIAG-Total","133-IIAG-Total","Women_in_Parliament_(IPU)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"245","women in the judiciary gi-IIAG-Total","126-IIAG-Total","Women_in_the_Judiciary_(GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"246","womens labour force participation wb-IIAG-Total","128-IIAG-Total","Women's_Labour_Force_Participation_(WB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"247","womens political empowerment  vdem-IIAG-Total","124-IIAG-Total","Women's_Political_Empowerment__(V-Dem)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"248","womens political participation ipugiwb-IIAG-Total","134-IIAG-Total","Women's_Political_Participation_(IPU/GI/WB)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"249","workplace gender equality gi-IIAG-Total","127-IIAG-Total","Workplace_Gender_Equality_(GI)","Total","IIAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
