"","X.2","Indicator_Id","X.1","Dataset","X","indicator","Indicator_Name","answer","Display_Name","Category_15","Value_Type_Slug","Value_Type_Descriptor","Units","Category_11","Category_12","Category_13","Category_14","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description","Rank_1"
"2620",2620,"Global_Integrity154",773,"Global_Integrity",11311,"18a","18a","Total","In law there are regulations governing private contributions to political parties",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity154","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",3.651
"2621",2621,"Global_Integrity155",774,"Global_Integrity",11321,"18b","18b","Total","In law there are limits on individual donations to candidates and political parties",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity155","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",3.62
"2622",2622,"Global_Integrity156",775,"Global_Integrity",11331,"18b","18b","Total","In practice agency or set of agencies-entities appointments are made that support the independence of the agency",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity156","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",3.776
"2623",2623,"Global_Integrity157",776,"Global_Integrity",11341,"18c","18c","Total","In law there are limits on corporate donations to candidates and political parties",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity157","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",3.614
"2624",2624,"Global_Integrity158",777,"Global_Integrity",11351,"18c","18c","Total","In practice the agency or set of agencies-entities has a professional fulltime staff",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity158","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",5.051
"2625",2625,"Global_Integrity159",778,"Global_Integrity",11361,"18d","18d","Total","In law there are limits on total party expenditure",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity159","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",3.626
"2626",2626,"Global_Integrity16",779,"Global_Integrity",11371,"06c","06c","Total","In practice where necessary citizens can obtain a print media license within a reasonable time period",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity16","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",5.336
"2627",2627,"Global_Integrity160",780,"Global_Integrity",11381,"18d","18d","Total","In law there are limits on total political party expenditures",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity160","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",3.627
"2628",2628,"Global_Integrity161",781,"Global_Integrity",11391,"18d","18d","Total","In practice the agency or set of agencies-entities makes timely publicly available reports following an election cycle",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity161","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",5.053
"2629",2629,"Global_Integrity162",782,"Global_Integrity",11401,"18e","18e","Total","In law there are requirements for disclosure of donations to political candidates and parties",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity162","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",3.665
"2630",2630,"Global_Integrity163",783,"Global_Integrity",11411,"18e","18e","Total","In practice when necessary the agency or set of agencies-entities imposes penalties on offenders",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity163","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",5.288
"2631",2631,"Global_Integrity164",784,"Global_Integrity",11421,"18f","18f","Total","In law there are requirements for the independent auditing of the finances of political parties and candidates",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity164","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",3.684
"2632",2632,"Global_Integrity165",785,"Global_Integrity",11431,"19","19","Total","Are elections systems transparent and effective?",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity165","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",3.45
"2633",2633,"Global_Integrity166",786,"Global_Integrity",11441,"19","19","Total","Are the regulations governing political financing effective?",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity166","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",3.65
"2634",2634,"Global_Integrity167",787,"Global_Integrity",11451,"19","19","Total","Are the regulations governing political party finances effective?",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity167","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",3.66
"2635",2635,"Global_Integrity168",788,"Global_Integrity",11461,"19a","19a","Total","In practice the limits on individual donations to candidates and political parties are effective in regulating an individuals ability to financially support a candidate or political party",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity168","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",5.189
"2636",2636,"Global_Integrity169",789,"Global_Integrity",11471,"19a","19a","Total","In practice there is a clear and transparent system of voter registration",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity169","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",5.259
"2637",2637,"Global_Integrity17",790,"Global_Integrity",11481,"06d","06d","Total","In practice where necessary citizens can obtain a print media license at a reasonable cost",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity17","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",5.334
"2638",2638,"Global_Integrity170",791,"Global_Integrity",11491,"19a","19a","Total","In practice when necessary an agency monitoring political party finances independently initiates investigations",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity170","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",5.271
"2639",2639,"Global_Integrity171",792,"Global_Integrity",11501,"19b","19b","Total","In law election results can be contested through the judicial system",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity171","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",3.451
"2640",2640,"Global_Integrity172",793,"Global_Integrity",11511,"19b","19b","Total","In practice the limits on corporate donations to candidates and political parties are effective in regulating a companys ability to financially support a candidate or political party",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity172","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",5.185
"2641",2641,"Global_Integrity173",794,"Global_Integrity",11521,"19b","19b","Total","In practice when necessary an agency monitoring political party finances imposes penalties on offenders",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity173","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",5.27
"2642",2642,"Global_Integrity174",795,"Global_Integrity",11531,"19c","19c","Total","In practice contributions to political parties are audited",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity174","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",4.07
"2643",2643,"Global_Integrity175",796,"Global_Integrity",11541,"19c","19c","Total","In practice election results can be effectively appealed through the judicial system",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity175","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",4.25
"2644",2644,"Global_Integrity176",797,"Global_Integrity",11551,"19c","19c","Total","In practice the limits on total party expenditures are effective in regulating a political partys ability to fund campaigns or politicallyrelated activities",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity176","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",5.193
"2645",2645,"Global_Integrity177",798,"Global_Integrity",11561,"19d","19d","Total","In practice the military and security forces remain neutral during elections",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity177","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",5.198
"2646",2646,"Global_Integrity178",799,"Global_Integrity",11571,"19d","19d","Total","In practice when necessary an agency or entity monitoring political financing independently initiates investigations",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity178","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",5.274
"2647",2647,"Global_Integrity179",800,"Global_Integrity",11581,"19e","19e","Total","In law domestic and international election observers are allowed to monitor elections",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity179","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",3.449
"2648",2648,"Global_Integrity18",801,"Global_Integrity",11591,"07a","07a","Total","In practice the government does not create barriers to form a broadcast radio and TV media entity",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity18","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",5.128
"2649",2649,"Global_Integrity180",802,"Global_Integrity",11601,"19e","19e","Total","In practice when necessary an agency or entity monitoring political financing imposes penalties on offenders",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity180","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",5.272
"2650",2650,"Global_Integrity181",803,"Global_Integrity",11611,"19f","19f","Total","In practice contributions to political parties and candidates are audited",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity181","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",4.05
"2651",2651,"Global_Integrity182",804,"Global_Integrity",11621,"19f","19f","Total","In practice election observers are able to effectively monitor elections",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity182","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",4.23
"2652",2652,"Global_Integrity183",805,"Global_Integrity",11631,"1","1","Total","Are anticorruptiongood governance CSOs legally protected?",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity183","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",3.27
"2653",2653,"Global_Integrity184",806,"Global_Integrity",11641,"1","1","Total","Are anticorruptiongood governance NGOs legally protected?",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity184","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",3.3
"2654",2654,"Global_Integrity185",807,"Global_Integrity",11651,"1","1","Total","Civil Society Public Information and Media",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity185","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",3.174
"2655",2655,"Global_Integrity186",808,"Global_Integrity",11661,"1","1","Total","In law do citizens have a right to form civil society organizations CSOs?",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity186","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",3.447
"2656",2656,"Global_Integrity187",809,"Global_Integrity",11671,"1","1","Total","Non-Governmental Organizations Public Information and Media",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity187","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",5.478
"2657",2657,"Global_Integrity188",810,"Global_Integrity",11681,"1a","1a","Total","In law citizens have a right to form civil society organizations CSOs focused on anticorruption or good governance (1a)",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity188","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",3.423
"2658",2658,"Global_Integrity189",811,"Global_Integrity",11691,"1b","1b","Total","In law anticorruptiongood governance CSOs are free to accept funding from any foreign or domestic sources (1b)",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity189","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",3.347
"2659",2659,"Global_Integrity19",812,"Global_Integrity",11701,"07b","07b","Total","In law where a broadcast radio and TV media license is necessary there is an appeals mechanism if a license is denied or revoked",NA,"Score","Question source's code in parenthesis","Index","Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity19","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. 

These scores are generated following an elaborate and collaborative review process that includes balancing information from several (sometimes conflicting) sources while being guided by the master scoring criteria.",3.756
