"","Indicator_Id","X.1","Dataset","X","indicator","Indicator_Name","answer","Display_Name","Category_15","Value_Type_Slug","Value_Type_Descriptor","Units","Rank_1","Category_11","Category_12","Category_13","Category_14","Rank_2","Category_21","Category_22","Category_23","Category_24","Category_25","Rank_3","Category_31","Category_32","Category_33","Category_34","Indicator.Code","Indicator.ID","overlap","Indicator_Code","Description","n_Countries","n_years","min_year","max_year"
"2516","Global_Integrity1264",647,"Global_Integrity",10051,"80a","80a","Total","In practice appointments to the law enforcement agency or agencies are made according to professional criteria (80a)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",5.49,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity1264","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",48,1,2007,2007
"2517","Global_Integrity1265",648,"Global_Integrity",10061,"80a","80a","Total","In practice there is an independent mechanism for citizen complaints about police action (80a)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",5.068,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity1265","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",25,1,2004,2004
"2518","Global_Integrity1266",649,"Global_Integrity",10071,"80b","80b","Total","In law there is an agency to investigate and prosecute corruption committed by law enforcement officials (80b)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",5.152,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity1266","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",25,1,2004,2004
"2519","Global_Integrity1267",650,"Global_Integrity",10081,"80b","80b","Total","In practice national-level judges are protected from political interference (80b)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",4.177,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity1267","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",73,4,2008,2011
"2520","Global_Integrity1268",651,"Global_Integrity",10091,"80b","80b","Total","In practice the law enforcement agency or agencies has a budget sufficient to carry out its mandate (80b)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",4.898,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity1268","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",48,1,2007,2007
"2521","Global_Integrity1269",652,"Global_Integrity",10101,"80c","80c","Total","In law law enforcement officials are not immune from prosecution (80c)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",5.014,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity1269","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",25,1,2004,2004
"2522","Global_Integrity127",653,"Global_Integrity",10111,"16b","16b","Total","In law all citizens have a right to run for political office (16b)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",4.926,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity127","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",83,5,2007,2011
"2523","Global_Integrity1270",654,"Global_Integrity",10121,"80c","80c","Total","In law there is a transparent and objective system for distributing cases to national-level judges (80c)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",4.026,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity1270","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",73,4,2008,2011
"2524","Global_Integrity1271",655,"Global_Integrity",10131,"80c","80c","Total","In practice the law enforcement agency is protected from political interference (80c)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",5.369,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity1271","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",48,1,2007,2007
"2525","Global_Integrity1272",656,"Global_Integrity",10141,"80d","80d","Total","In law national-level judges are protected from removal without relevant justification (80d)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",4.789,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity1272","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",73,4,2008,2011
"2526","Global_Integrity1273",657,"Global_Integrity",10151,"80d","80d","Total","In practice law enforcement officials are not immune from prosecution (80d)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",4.861,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity1273","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",25,1,2004,2004
"2527","Global_Integrity1274",658,"Global_Integrity",10161,"81","81","Total","Are judges safe when adjudicating corruption cases? (81)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",4.32,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity1274","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",62,3,2009,2011
"2528","Global_Integrity1275",659,"Global_Integrity",10171,"81a","81a","Total","In law there is an independent mechanism for citizens to complain about police action (81a)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",5.302,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity1275","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",48,1,2007,2007
"2529","Global_Integrity1276",660,"Global_Integrity",10181,"81a","81a","Total","In practice in the last year no judges have been physically harmed because of adjudicating corruption cases (81a)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",4.271,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity1276","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",73,4,2008,2011
"2530","Global_Integrity1277",661,"Global_Integrity",10191,"81b","81b","Total","In practice in the last year no judges have been killed because of adjudicating corruption cases (81b)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",5.662,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity1277","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",73,4,2008,2011
"2531","Global_Integrity1278",662,"Global_Integrity",10201,"81b","81b","Total","In practice the independent law enforcement complaint reporting mechanism responds to citizens complaints within a reasonable time period (81b)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",5.437,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity1278","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",48,1,2007,2007
"2532","Global_Integrity1279",663,"Global_Integrity",10211,"81c","81c","Total","In law there is an agencyentity to investigate and prosecute corruption committed by law enforcement officials (81c)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",4.664,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity1279","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",48,1,2007,2007
"2533","Global_Integrity128",664,"Global_Integrity",10221,"16b","16b","Total","In practice agency or set of agenciesentities appointments are made that support the independence of the agency (16b)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",4.809,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity128","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",39,1,2006,2006
"2534","Global_Integrity1280",665,"Global_Integrity",10231,"81d","81d","Total","In practice when necessary the agency entity independently initiates investigations into allegations of corruption by law enforcement officials (81d)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",4.048,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity1280","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",48,1,2007,2007
"2535","Global_Integrity1281",666,"Global_Integrity",10241,"81e","81e","Total","In law law enforcement officials are not immune from criminal proceedings (81e)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",4.301,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity1281","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",48,1,2007,2007
"2536","Global_Integrity1282",667,"Global_Integrity",10251,"81f","81f","Total","In practice law enforcement officials are not immune from criminal proceedings (81f)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",4.303,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity1282","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",48,1,2007,2007
"2537","Global_Integrity1283",668,"Global_Integrity",10261,"82","82","Total","Do citizens have equal access to the justice system? (82)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",4.365,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity1283","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",62,3,2009,2011
"2538","Global_Integrity1284",669,"Global_Integrity",10271,"82a","82a","Total","In practice judicial decisions are not affected by racial or ethnic bias (82a)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",5.542,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity1284","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",73,4,2008,2011
"2539","Global_Integrity1285",670,"Global_Integrity",10281,"82b","82b","Total","In practice women have full access to the judicial system (82b)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",4.719,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity1285","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",73,4,2008,2011
"2540","Global_Integrity1286",671,"Global_Integrity",10291,"82c","82c","Total","In law the state provides legal counsel for defendants in criminal cases who cannot afford it (82c)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",4.541,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity1286","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",73,4,2008,2011
"2541","Global_Integrity1287",672,"Global_Integrity",10301,"82d","82d","Total","In practice the state provides adequate legal counsel for defendants in criminal cases who cannot afford it (82d)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",4.436,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity1287","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",73,4,2008,2011
"2542","Global_Integrity1288",673,"Global_Integrity",10311,"82e","82e","Total","In practice citizens earning the median yearly income can afford to bring a legal suit (82e)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",4.418,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity1288","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",73,4,2008,2011
"2543","Global_Integrity1289",674,"Global_Integrity",10321,"82f","82f","Total","In practice a typical small retail business can afford to bring a legal suit (82f)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",5.544,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity1289","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",73,4,2008,2011
"2544","Global_Integrity129",675,"Global_Integrity",10331,"16c","16c","Total","In practice all citizens are able to form political parties (16c)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",4.923,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity129","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",83,5,2007,2011
"2545","Global_Integrity1290",676,"Global_Integrity",10341,"82g","82g","Total","In practice all citizens have access to a court of law regardless of geographic location (82g)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",5.476,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity1290","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",73,4,2008,2011
"2546","Global_Integrity1291",677,"Global_Integrity",10351,"83","83","Total","Is the law enforcement agency ie the police effective? (83)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",4.97,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity1291","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",62,3,2009,2011
"2547","Global_Integrity1292",678,"Global_Integrity",10361,"83a","83a","Total","In practice appointments to the law enforcement agency or agencies are made according to professional criteria (83a)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",4.484,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity1292","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",73,4,2008,2011
"2548","Global_Integrity1293",679,"Global_Integrity",10371,"83b","83b","Total","In practice the law enforcement agency or agencies has a budget sufficient to carry out its mandate (83b)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",4.657,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity1293","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",73,4,2008,2011
"2549","Global_Integrity1294",680,"Global_Integrity",10381,"83c","83c","Total","In practice the law enforcement agency is protected from political interference (83c)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",4.583,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity1294","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",73,4,2008,2011
"2550","Global_Integrity1295",681,"Global_Integrity",10391,"84","84","Total","Can law enforcement officials be held accountable for their actions? (84)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",4.136,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity1295","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",62,3,2009,2011
"2551","Global_Integrity1296",682,"Global_Integrity",10401,"84a","84a","Total","In law there is an independent mechanism for citizens to complain about police action (84a)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",5.079,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity1296","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",73,4,2008,2011
"2552","Global_Integrity1297",683,"Global_Integrity",10411,"84b","84b","Total","In practice the independent law enforcement complaint reporting mechanism responds to citizens complaints within a reasonable time period (84b)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",5.028,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity1297","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",73,4,2008,2011
"2553","Global_Integrity1298",684,"Global_Integrity",10421,"84c","84c","Total","In law there is an agency entity to investigate and prosecute corruption committed by law enforcement officials (84c)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",4.802,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity1298","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",73,4,2008,2011
"2554","Global_Integrity1299",685,"Global_Integrity",10431,"84d","84d","Total","In practice when necessary the agency entity independently initiates investigations into allegations of corruption by law enforcement officials (84d)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",4.084,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity1299","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",73,4,2008,2011
"2555","Global_Integrity13",686,"Global_Integrity",10441,"05b","05b","Total","In law freedom of speech is guaranteed (05b)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",4.796,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity13","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",56,2,2010,2011
"2556","Global_Integrity130",687,"Global_Integrity",10451,"16c","16c","Total","In practice the agency or set of agencies entities has a professional fulltime staff (16c)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",5.642,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity130","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",39,1,2006,2006
"2557","Global_Integrity1300",688,"Global_Integrity",10461,"84e","84e","Total","In law law enforcement officials are not immune from criminal proceedings (84e)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",4.652,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity1300","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",73,4,2008,2011
"2558","Global_Integrity1301",689,"Global_Integrity",10471,"84f","84f","Total","In practice law enforcement officials are not immune from criminal proceedings (84f)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",5.22,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity1301","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",73,4,2008,2011
"2559","Global_Integrity1302",690,"Global_Integrity",10481,"8","8","Total","Are the media credible sources of information? (8)",NA,"Question source's code in parenthesis","Question source's code in parenthesis","Index",4.121,"Checks and Balances","Oversight institutions",NA,NA,".","","",NA,NA,NA,".","","",NA,NA,"not-updated spring18","not-updated spring18","GOV","Global_Integrity1302","Global Integrity quantitatively assesses the access that citizens and businesses have to a country's government, their ability to monitor its behavior, and their ability to seek redress and advocate for improved governance.

It breaks down that access into a number of categories and questions, ranging from inquiries into electoral practices and media freedom to budget transparency and conflicts of interests regulations. ",39,1,2006,2006
